,0
0,"""Long ago, Medeus, king of the dragonkin, conquered the continent of Archanea, beginning an age of fear and despair for all its people. That tyranny was broken, however, when an unlikely hero intervened. A young man hailing from the Altea region appeared with a divine blade in hand. He stood against the Shadow Dragon, and struck him down. For some time after, the land enjoyed an age of peace. However, after a century's passing, the Shadow Dragon returned. He forged an alliance with a fiendish sorcerer who sought to rule the world, and their combined might toppled kingdom upon unsuspecting kingdom.
"
1,"""Again, darkness threatened to engulf the continent. It fell upon the king of Altea, sole descendant of the dragon-slayer hero, to 'sally forth with the divine blade and fulfill his blood destiny.""
"
2,"""His son, Prince Marth, remained at home with the boy's mother, his elder sister, and a garrison manned by Altea's neighbor and ally, Gra. Thus the boy applied himself to the ways of both pen and sword, until one day...""
"
3,"""But he was betrayed by his closest ally, Gra- and both king and kingdom fell. Altea's prince, Marth, escaped the castle and found refuge on the isle of Talys, but at a dear cost: his sister stayed behind to buy his freedom.""
"
4,"""Thus Prince Marth escaped Altea Castle with Sir Jagen and company at his side. However, this success would mean little to him once he learned the cost. The boy's woes were just beginning.""
"
5,"""Marth and his knights took refuge in a forest near Altea's borders, lying low while they waiting for the right chance to escape the kingdom. Before long, the enemy grew less watchful: the time to slip away had come. Still, the prince could not quell the sadness in his heart for his sister Elice.""
"
6,"""And so Marth and his knights left Altea, heavy of heart and bleary of eye...""
"
7,"Soldier: Prince Marth... Are you awake? Beggin' your pardon, sire, but the princess has asked to see you."
8,"Marth: Elice? Is she all right?"""
9,"Soldier: She seemed to be, sire, but her words implied a certain urgency. She bade you dress quickly and wait by the throne."
10,Marth: ...Has something happened?
11,"Soldier: It's our forces off in Gra, sire. There seems to 'ave been some sort of incident, but... Well, I'm not privy to the specifics."
12,Marth: I see... Thank you. I'll be there shortly.
13,Marth: My sister said she would meet me by the throne.
14,"Marth: An incident in Gra... If Elice had news of our father, I pray it's good news..."
15,"Enemy Soldier: O'er there, that's him! Prince Marth!"
16,Marth: Wha- Who are you?!
17,"Enemy Soldier: We're soldiers of Gra, li'l prince. And if you know what's good for you, you'll surrender to us without makin' any trouble."
18,Marth: Surrender? But that's ridiculous... Why would I surrender to the army of an allied kingdom?
19,"Enemy Soldier: ""Meh heh heh... They don't tell you much, do they? No matter."" You'll ‘ave the full story soon enough. Now...lay down your sword."
20,"Marth: I will not. I am the prince of Altea. I will not yield to you or any other nation, here on my own land, under my own castle roof!"
21,"Enemy Soldier: Heh, you talk big, brat. Have it your way. If you won't lay down your sword, then we'll just have to take your life instead!"
22,Enemy Soldier: What? He is fighting back? I'll show him!
23,Marth: No! The throne... I have to get rid of him before my sister arrives!
24,"Elice: Marth, are you all right?"
25,"Marth: Sister, what is happening?"
26,"Elice: Steady yourself, Marth. I have grave news. Our father was defeated by the Dolhr-Grust allied forces."
27,Marth: What? No...
